,Shorthand,DOI,Authors,Journal,Title,Date,bioRxiv DOI,Reported cells total,Organism,Tissue,Technique,Data location,Panel size,Measurement,Cell source,Disease,Contrasts,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,Number individuals,date,year,month,day,cells_per_donor
141,Henry et al CReports,10.1016/j.celrep.2018.11.086,"Gervaise H. Henry, Alicia Malewska, Diya B. Joseph, Venkat S. Malladi, Jeon Lee, Jose Torrealba, Ryan J. Mauck, Jeffrey C. Gahan, Ganesh V. Raj, Claus G. Roehrborn, Gary C. Hon, Malcolm P. MacConmara, Jeffrey C. Reese, Ryan C. Hutchinson, Chad M. Vezina, Douglas W. Strand",Cell Reports,A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra,20181218,10.1101/439935,98000.0,Human,Prostate,Chromium,GSE120716,,RNA-seq,Young human prostate,,,,,,,,,,,,,3.0,2018-12-18,2018,12,18,32666.666666666668
142,Stoeckius et al GBiology,10.1186/s13059-018-1603-1,"Marlon Stoeckius, Shiwei Zheng, Brian Houck-Loomis, Stephanie Hao, Bertrand Z. Yeung, William M. Mauck, Peter Smibert, Rahul Satija",Genome Biol,Cell Hashing with barcoded antibodies enables multiplexing and doublet detection for single cell genomics,20181219,10.1101/237693,2616.0,"Human, Mouse","Blood, Culture",CITE-seq,,,RNA-seq,HEK293T (human) and NIH-3T3 (mouse) cells,,,,,,,,,,,,,8.0,2018-12-19,2018,12,19,327.0
143,Li et al Cell, 10.1016/j.cell.2018.11.043,"Hanjie Li, Anne M. van der Leun, Ido Yofe, Yaniv Lubling, Dikla Gelbard-Solodkin, Alexander C.J. van Akkooi, Marlous van den Braber, Elisa A. Rozeman, John B.A.G. Haanen, Christian U. Blank, Hugo M. Horlings, Eyal David, Yael Baran, Akhiad Bercovich, Aviezer Lifshitz, Ton N. Schumacher, Amos Tanay, Ido Amit",Cell,"Dysfunctional CD8 T Cells Form a Proliferative, Dynamically Regulated Compartment within Human Melanoma",20181227,,46612.0,Human,"Blood, Tumor",MARS-seq2.0,GSE123139,,RNA-seq,"Melanoma, matched PBMC",Melanoma,"Melanoma vs Healthy, Tumor vs Blood, TCR",,9,Yes,No,No,No,No,,,,25.0,2018-12-27,2018,12,27,1864.48
144,Andor et al Blood,10.1182/blood-2018-08-862292,"Noemi Andor, Erin F. Simonds, Debra K. Czerwinski, Jiamin Chen, Susan M. Grimes, Christina Wood-Bouwens, Grace X. Y. Zheng, Matthew A. Kubit, Stephanie Greer, William A. Weiss, Ronald Levy, Hanlee P. Ji",Blood,Single-cell RNA-Seq of follicular lymphoma reveals malignant B-cell types and coexpression of T-cell immune checkpoints,20181227,,34188.0,Human,Blood,,,,RNA-seq,,,,,,,,,,,,,,11.0,2018-12-27,2018,12,27,3108.0
145,Sung Jang et al BCJ,10.1038/s41408-018-0160-x,"Jin Sung Jang, Ying Li, Amit Kumar Mitra, Lintao Bi, Alexej Abyzov, Andre J. van Wijnen, Linda B. Baughn, Brian Van Ness, Vincent Rajkumar, Shaji Kumar, Jin Jen",Blood Cancer Journal,Molecular signatures of multiple myeloma progression through single cell RNA-Seq,20190103,-,597.0,Human,,SMARTer (C1),GSE118900,,RNA-seq,Multiple myeloma,,,,,,,,,,,,,15.0,2019-01-03,2019,1,3,39.8
146,Fergusson et al FImmunology,10.3389/fimmu.2018.02902,"Joannah R. Fergusson, Michael D. Morgan, Melanie Bruchard, Leonie Huitema, Balthasar A. Heesters, Vincent van Unen, Jan Piet van Hamburg, Nicole N. van der Wel, Daisy Picavet, Frits Koning, Sander W. Tas, Mark S. Anderson, John C. Marioni, Georg A. Holländer, Hergen Spits",Front. Immunol.,Maturing Human CD127+ CCR7+ PDL1+ Dendritic Cells Express AIRE in the Absence of Tissue Restricted Antigens,20190114,-,217.0,Human,Tonsil,Smart-seq2,E-MTAB-7381,,RNA-seq,Tonsil mTECs,,,,2,Yes,Yes,No,Yes,Yes,,,,2.0,2019-01-14,2019,1,14,108.5
147,Li et al NImmunology,10.1038/s41590-018-0294-9,"Na Li, Vincent van Unen, Tamim Abdelaal, Nannan Guo, Sofya A. Kasatskaya, Kristin Ladell, James E. McLaren, Evgeny S. Egorov, Mark Izraelson, Susana M. Chuva de Sousa Lopes, Thomas Höllt, Olga V Britanova, Jeroen Eggermont, Noel F. C. C. de Miranda, Dmitriy M. Chudakov, David A. Price, Boudewijn P. F. Lelieveldt, Frits Koning",Nat Immunol,Memory CD4+ T cells are generated in the human fetal intestine,20190121,-,1804.0,Human,,Chromium,GSE122846,,RNA-seq,T cells from fetal intestine,,,,22,,,,,,,,,1.0,2019-01-21,2019,1,21,1804.0
148,Chapuy et al MImmunology,10.1038/s41385-018-0126-0,"Laurence Chapuy, Marwa Bsat, Siranush Sarkizova, Manuel Rubio, Amélie Therrien, Evelyne Wassef, Mickael Bouin, Katarzina Orlicka, Audrey Weber, Nir Hacohen, Alexandra-Chloé Villani, Marika Sarfati",Mucosal Immunol,Two distinct colonic CD14+ subsets characterized by single-cell RNA profiling in Crohn’s disease,20190122,,294.0,Human,Colon,Smart-seq2,GSE140123,,RNA-seq,CD14+,Crohn's disease,,,,,,,,,,,,3.0,2019-01-22,2019,1,22,98.0
149,Jäkel et al Nature,10.1038/s41586-019-0903-2,"Sarah Jäkel, Eneritz Agirre, Ana Mendanha Falcão, David van Bruggen, Ka Wai Lee, Irene Knuesel, Dheeraj Malhotra, Charles ffrench-Constant, Anna Williams, Gonçalo Castelo-Branco",Nature,Altered human oligodendrocyte heterogeneity in multiple sclerosis,20190123,,17800.0,Human,Brain,Chromium,GSE118257,,RNA-seq,White matter,Multiple sclerosis,MS vs Control,,24,Yes,Yes,Yes,Yes,Yes,,,,9.0,2019-01-23,2019,1,23,1977.7777777777778
150,Liu et al NCommunications,10.1038/s41467-018-08205-7,"Longqi Liu, Chuanyu Liu, Andrés Quintero, Liang Wu, Yue Yuan, Mingyue Wang, Mengnan Cheng, Lizhi Leng, Liqin Xu, Guoyi Dong, Rui Li, Yang Liu, Xiaoyu Wei, Jiangshan Xu, Xiaowei Chen, Haorong Lu, Dongsheng Chen, Quanlei Wang, Qing Zhou, Xinxin Lin, Guibo Li, Shiping Liu, Qi Wang, Hongru Wang, J. Lynn Fink, Zhengliang Gao, Xin Liu, Yong Hou, Shida Zhu, Huanming Yang, Yunming Ye, Ge Lin, Fang Chen, Carl Herrmann, Roland Eils, Zhouchun Shang, Xun Xu",Nat Commun,Deconvolution of single-cell multi-omics layers reveals regulatory heterogeneity,20190128,,176.0,Human,"Culture, Lung",scCAT-seq,SRP136421,,RNA-seq,"K562, Lung",,Chromatin accessibility,,,,No,No,Yes,No,,,,2.0,2019-01-28,2019,1,28,88.0
151,Miragaia et al Immunity,10.1016/j.immuni.2019.01.001,"Ricardo J. Miragaia, Tomás Gomes, Agnieszka Chomka, Laura Jardine, Angela Riedel, Ahmed N. Hegazy, Natasha Whibley, Andrea Tucci, Xi Chen, Ida Lindeman, Guy Emerton, Thomas Krausgruber, Jacqueline Shields, Muzlifah Haniffa, Fiona Powrie, Sarah A. Teichmann",Immunity,Single-Cell Transcriptomics of Regulatory T Cells Reveals Trajectories of Tissue Adaptation,20190205,10.1101/217489,35000.0,"Human, Mouse","Blood, Colon, Lymph node, Skin, Spleen",Chromium & Smart-seq2,E-MTAB-6072,,RNA-seq,"Tregs, Tmems",,,,8,Yes,Yes,Yes,Yes,Yes,,,,,2019-02-05,2019,2,5,
152,Cui et al CReports,10.1016/j.celrep.2019.01.079,"Yueli Cui, Yuxuan Zheng, Xixi Liu, Liying Yan, Xiaoying Fan, Jun Yong, Yuqiong Hu, Ji Dong, Qingqing Li, Xinglong Wu, Shuai Gao, Jingyun Li, Lu Wen, Jie Qiao, Fuchou Tang",Cell Reports,Single-Cell Transcriptome Analysis Maps the Developmental Track of the Human Heart,20190212,,4948.0,Human,Heart,STRT-seq,GSE106118,,RNA-seq,,,,"5w, 6w, 7w, 13w, 17w, 22w, 25w",,,,,,,,,Supplement,18.0,2019-02-12,2019,2,12,274.8888888888889
153,Merino et al NComms,10.1038/s41467-019-08595-2,"D. Merino, T. S. Weber, A. Serrano, F. Vaillant, K. Liu, B. Pal, L. Di Stefano, J. Schreuder, D. Lin, Y. Chen, M. L. Asselin-Labat, T. N. Schumacher, D. Cameron, G. K. Smyth, A. T. Papenfuss, G. J. Lindeman, J. E. Visvader, S. H. Naik",Nat Commun,Barcoding reveals complex clonal behavior in patient-derived xenografts of metastatic triple negative breast cancer,20190215,-,25000.0,Human,,Chromium,GSE123926,,RNA-seq,Epithelial cells from xenografts of triple negative breast cancer,,,,,,,,,,,,,3.0,2019-02-15,2019,2,15,8333.333333333334
154,Masuda et al Nature,10.1038/s41586-019-0924-x,"Takahiro Masuda, Roman Sankowski, Ori Staszewski, Chotima Böttcher, Lukas Amann, Sagar, Christian Scheiwe, Stefan Nessler, Patrik Kunz, Geert van Loo, Volker Arnd Coenen, Peter Christoph Reinacher, Anna Michel, Ulrich Sure, Ralf Gold, Dominic Grün, Josef Priller, Christine Stadelmann, Marco Prinz",Nature,Spatial and temporal heterogeneity of mouse and human microglia at single-cell resolution,20190215,,2966.0,"Human, Mouse",Brain,CEL-seq2,GSE124335,,RNA-seq,"Microglia across different brain regions, forebrain, cortex, hippocampus, corpus callosum, midbrain, cerebellum, pons facial nucleus, spinal cord",Multiple sclerosis,"Neurodegenerative and demyelinating pathologies, MS vs Healthy","E16.5, 3w, 16w",13,Yes,No,No,No,Yes,,,,10.0,2019-02-15,2019,2,15,296.6
155,Koutsakos et al NImmunology,10.1038/s41590-019-0320-6,"Marios Koutsakos, Patricia T. Illing, Thi H. O. Nguyen, Nicole A. Mifsud, Jeremy Chase Crawford, Simone Rizzetto, Auda A. Eltahla, E. Bridie Clemens, Sneha Sant, Brendon Y. Chua, Chinn Yi Wong, E. Kaitlynn Allen, Don Teng, Pradyot Dash, David F. Boyd, Ludivine Grzelak, Weiguang Zeng, Aeron C. Hurt, Ian Barr, Steve Rockman, David C. Jackson, Tom C. Kotsimbos, Allen C. Cheng, Michael Richards, Glen P. Westall, Thomas Loudovaris, Stuart I. Mannering, Michael Elliott, Stuart G. Tangye, Linda M. Wakim, Jamie Rossjohn, Dhanasekaran Vijaykrishna, Fabio Luciani, Paul G. Thomas, Stephanie Gras, Anthony W. Purcell, Katherine Kedzierska",Nat Immunol,"Human CD8+ T cell cross-reactivity across influenza A, B and C viruses",20190218,-,209.0,Human,,Smart-seq2,E-MTAB-7606,,RNA-seq,CD8+ T cells,,,,5,No,No,No,Yes,No,,,,1.0,2019-02-18,2019,2,18,209.0
156,Furuyama et al Nature,10.1038/s41586-019-0942-8,"Kenichiro Furuyama, Simona Chera, Léon van Gurp, Daniel Oropeza, Luiza Ghila, Nicolas Damond, Heidrun Vethe, Joao A. Paulo, Antoinette M. Joosten, Thierry Berney, Domenico Bosco, Craig Dorrell, Markus Grompe, Helge Ræder, Bart O. Roep, Fabrizio Thorel, Pedro L. Herrera",Nature,Diabetes relief in mice by glucose-sensing insulin-secreting human α-cells,20190221,-,532.0,"Human, Mouse","Culture, Kidney, Pancreas",Chromium,GSE123844,,RNA-seq,Islet,,,,5,Yes,Yes,No,Yes,Yes,,,,,2019-02-21,2019,2,21,
157,Parikh et al Nature,10.1038/s41586-019-0992-y,"Kaushal Parikh, Agne Antanaviciute, David Fawkner-Corbett, Marta Jagielowicz, Anna Aulicino, Christoffer Lagerholm, Simon Davis, James Kinchen, Hannah H. Chen, Nasullah Khalid Alham, Neil Ashley, Errin Johnson, Philip Hublitz, Leyuan Bao, Joanna Lukomska, Rajinder Singh Andev, Elisabet Björklund, Benedikt M. Kessler, Roman Fischer, Robert Goldin, Hashem Koohy, Alison Simmons",Nature,Colonic epithelial cell diversity in health and inflammatory bowel disease,20190227,-,11175.0,Human,Colon,Chromium & Smart-seq2,GSE116222,,RNA-seq,,Inflammatory bowel disease,,,,,,,,,,,,10.0,2019-02-27,2019,2,27,1117.5
158,van Galen et al Cell,10.1016/j.cell.2019.01.031,"Peter van Galen, Volker Hovestadt, Marc H. Wadsworth II, Travis K. Hughes, Gabriel K. Griffin, Sofia Battaglia, Julia A. Verga, Jason Stephansky, Timothy J. Pastika, Jennifer Lombardi Story, Geraldine S. Pinkus, Olga Pozdnyakova, Ilene Galinsky, Richard M. Stone, Timothy A. Graubert, Alex K. Shalek, Jon C. Aster, Andrew A. Lane, Bradley E. Bernstein",Cell,Single-Cell RNA-Seq Reveals AML Hierarchies Relevant to Disease Progression and Immunity,20190228,-,38410.0,Human,Bone marrow,Seq-Well,GSE116256,,RNA-seq,Bone marrow aspirates,,,,31,Yes,,,,,,,,21.0,2019-02-28,2019,2,28,1829.047619047619
159,Ludwig et al Cell,10.1016/j.cell.2019.01.022,"Leif S. Ludwig, Caleb A. Lareau, Jacob C. Ulirsch, Elena Christian, Christoph Muus, Lauren H. Li, Karin Pelka, Will Ge, Yaara Oren, Alison Brack, Travis Law, Christopher Rodman, Jonathan H. Chen, Genevieve M. Boland, Nir Hacohen, Orit Rozenblatt-Rosen, Martin J. Aryee, Jason D. Buenrostro, Aviv Regev, Vijay G. Sankaran",Cell,Lineage Tracing in Humans Enabled by Mitochondrial Mutations and Single-Cell Genomics,20190228,-,198.0,Human,,Smart-seq2,GSE115218,,RNA-seq,TF1 cells,,,,,,,,,,,,,31.0,2019-02-28,2019,2,28,6.387096774193548
160,Snyder et al SImmunology,10.1126/sciimmunol.aav5581,"Mark E. Snyder, Michael O. Finlayson, Thomas J. Connors, Pranay Dogra, Takashi Senda, Erin Bush, Dustin Carpenter, Charles Marboe, Luke Benvenuto, Lori Shah, Hilary Robbins, Jaime L. Hook, Megan Sykes, Frank D’Ovidio, Matthew Bacchetta, Joshua R. Sonett, David J. Lederer, Selim Arcasoy, Peter A. Sims, Donna L. Farber",Sci. Immunol.,Generation and persistence of human tissue-resident memory T cells in lung transplantation,20190309,-,960.0,Human,,SMARTer (UMI),GSE124675,,RNA-seq,T cells from BAL,,,,3,,,,,,,,,2.0,2019-03-09,2019,3,9,480.0
161,Fang et al CReports,10.1016/j.celrep.2019.02.043,"Zhou Fang, Chen Weng, Haiyan Li, Ran Tao, Weihua Mai, Xiaoxiao Liu, Leina Lu, Sisi Lai, Qing Duan, Carlos Alvarez, Peter Arvan, Anthony Wynshaw-Boris, Yun Li, Yanxin Pei, Fulai Jin, Yan Li",Cell Reports,Single-Cell Heterogeneity Analysis and CRISPR Screen Identify Key β-Cell-Specific Disease Genes,20190312,,39905.0,"Human, Mouse",Pancreas,Drop-seq,GSE101207,,RNA-seq,,Type 2 diabetes,,,,,,,,,,,,9.0,2019-03-12,2019,3,12,4433.888888888889
162,Everman et al JACI,10.1016/j.jaci.2019.01.052,"Jamie L. Everman, Satria Sajuthi, Benjamin Saef, Cydney Rios, Ari M. Stoner, Mari Numata, Donglei Hu, Celeste Eng, Sam Oh, Jose Rodriguez-Santana, Eszter K. Vladar, Dennis R. Voelker, Esteban G. Burchard, Max A. Seibold",Journal of Allergy and Clinical Immunology,Functional genomics of CDHR3 confirms its role in HRV-C infection and childhood asthma exacerbations,20190329,,1142.0,Human,Lung,ICELL8,,,RNA-seq,,Asthma,,,,,,,,,,,,6.0,2019-03-29,2019,3,29,190.33333333333334
163,Liu et al SReports,10.1038/s41598-019-41951-2,"Ruishan Liu, Marco Mignardi, Robert Jones, Martin Enge, Seung K. Kim, Stephen R. Quake, James Zou",Sci Rep,Modeling Spatial Correlation of Transcripts with Application to Developing Pancreas,20190403,10.1101/391433,50147.0,Human,Pancreas,In Situ Sequencing,,25,In Situ,Fetal pancreas,,,"80 dpf, 87 dpf, 117 dpf",,,,,,,,,,3.0,2019-04-03,2019,4,3,16715.666666666668
164,Wen et al JCI,10.1172/JCI125917,"Ting Wen, Bruce J. Aronow, Yrina Rochman, Mark Rochman, Kiran KC, Phil J. Dexheimer, Philip Putnam, Vincent Mukkada, Heather Foote, Kira Rehn, Sam Darko, Daniel Douek, Marc E. Rothenberg",Journal of Clinical Investigation,Single-cell RNA sequencing identifies inflammatory tissue T cells in eosinophilic esophagitis,20190407,,1088.0,Human,Esophagus,SMARTer (C1),GSE126250,,RNA-seq,T cells,Eosinophilic esophagitis,EoE vs Remission vs Without disease,,,,,,,,,,,22.0,2019-04-07,2019,4,7,49.45454545454545
165,Zilionis et al Immunity,10.1016/j.immuni.2019.03.009,"Rapolas Zilionis, Camilla Engblom, Christina Pfirschke, Virginia Savova, David Zemmour, Hatice D. Saatcioglu, Indira Krishnan, Giorgia Maroni, Claire V. Meyerovitz, Clara M. Kerwin, Sun Choi, William G. Richards, Assunta De Rienzo, Daniel G. Tenen, Raphael Bueno, Elena Levantini, Mikael J. Pittet, Allon M. Klein",Immunity,Single-Cell Transcriptomics of Human and Mouse Lung Cancers Reveals Conserved Myeloid Populations across Individuals and Species,20190409,-,56301.0,"Mouse, Human",Tumor,InDrops,GSE127465,,RNA-seq,Tumor infiltrating myeloid cells,,TCR,,8,,,,,No,,,,7.0,2019-04-09,2019,4,9,8043.0
166,Mimitou et al NMethods,10.1038/s41592-019-0392-0,"Eleni P. Mimitou, Anthony Cheng, Antonino Montalbano, Stephanie Hao, Marlon Stoeckius, Mateusz Legut, Timothy Roush, Alberto Herrera, Efthymia Papalexi, Zhengqing Ouyang, Rahul Satija, Neville E. Sanjana, Sergei B. Koralov, Peter Smibert",Nat Methods,"Multiplexed detection of proteins, transcriptomes, clonotypes and CRISPR perturbations in single cells",20190422,-,13534.0,"Mouse, Human",Blood,ECCITE-seq,GSE126310,,RNA-seq,PBMC,,,,,Yes,No,No,No,Yes,,,,2.0,2019-04-22,2019,4,22,6767.0
167,Zhong et al bioRxiv,10.1101/617555,"Jixing Zhong, Dongsheng Chen, Fangyuan Hu, Fang Chen, Zaoxu Xu, Jian Fang, Jianjiang Xu, Shiyou Wang, Langchao Liang, Chaochao Chai, Xiangning Ding, Jiacheng Zhu, Peiwen Ding, Jun Xia, Sanjie Jiang, Wei Li, Ya Gao, Jianguo Zhang, Jiankang Li, Ping Xu, Fengjuan Gao, Dandan Wang, Daowei Zhang, Jie Huang, Shoufang Qu, Shenghai Zhang, Jihong Wu, Xinghuai Sun",bioRxiv,Single cell RNA-seq reveals cellular diversity and developmental characteristics of human infant retina,20190425,10.1101/617555,57832.0,Human,Eye,Chromium,,,RNA-seq,Infant retina,,,,20,,,,,,,,,3.0,2019-04-25,2019,4,25,19277.333333333332
168,Merrick et al Science,10.1126/science.aav2501,"David Merrick, Alexander Sakers, Zhazira Irgebay, Chihiro Okada, Catherine Calvert, Michael P. Morley, Ivona Percec, Patrick Seale",Science,Identification of a mesenchymal progenitor cell hierarchy in adipose tissue,20190426,-,22761.0,"Mouse, Human",,Chromium,GSE128889,,RNA-seq,Adipose cells,,,,10,Yes,,,,Yes,,,,,2019-04-26,2019,4,26,
169,Mathys et al Nature,10.1038/s41586-019-1195-2,"Hansruedi Mathys, Jose Davila-Velderrain, Zhuyu Peng, Fan Gao, Shahin Mohammadi, Jennie Z. Young, Madhvi Menon, Liang He, Fatema Abdurrob, Xueqiao Jiang, Anthony J. Martorell, Richard M. Ransohoff, Brian P. Hafler, David A. Bennett, Manolis Kellis, Li-Huei Tsai",Nature,Single-cell transcriptomic analysis of Alzheimer’s disease,20190501,-,80660.0,Human,Brain,Chromium,10.7303/syn18485175,,RNA-seq,"Prefrontal cortex, Microglia",,48 individuals with Alzheimer's disease pathology,Aged,18,Yes,No,No,Yes,Yes,,,,48.0,2019-05-01,2019,5,1,1680.4166666666667
170,Russel et al JVirology,10.1128/jvi.00500-19,"Alistair B. Russell, Elizaveta Elshina, Jacob R. Kowalsky, Aartjan J. W. te Velthuis, Jesse D. Bloom",J Virol,Single-Cell Virus Sequencing of Influenza Infections That Trigger Innate Immunity,20190503,10.1101/437277,1614.0,Human,,Chromium,,,RNA-seq,,,,,,,,,,,,,,,2019-05-03,2019,5,3,
171,Voigt et al EER,10.1016/j.exer.2019.05.001,"A.P. Voigt, S.S. Whitmore, M.J. Flamme-Wiese, M.J. Riker, L.A. Wiley, B.A. Tucker, E.M. Stone, R.F. Mullins, T.E. Scheetz",Experimental Eye Research,Molecular characterization of foveal versus peripheral human retina by single-cell RNA sequencing,20190508,,8217.0,Human,Retina,Chromium,GSE130636,,RNA-seq,Retina,,Foveal vs Peripheral retina,,,,,,,,,,,3.0,2019-05-08,2019,5,8,2739.0
172,Pfefferle et al bioRxiv,10.1101/630657,"Aline Pfefferle, Herman Netskar, Eivind Heggernes Ask, Susanne Lorenz, Jodie P. Goodridge, Ebba Sohlberg, Trevor Clancy, Karl-Johan Malmberg",bioRxiv,A Temporal Transcriptional Map of Human Natural Killer Cell Differentiation,20190508,10.1101/630657,26506.0,Human,,,,,RNA-seq,,,,,,,,,,,,,,2.0,2019-05-08,2019,5,8,13253.0
173,Kuo et al STM,10.1126/scitranslmed.aau8587,"David Kuo, Jennifer Ding, Ian S. Cohn, Fan Zhang, Kevin Wei, Deepak A. Rao, Cristina Rozo, Upneet K. Sokhi, Sara Shanaj, David J. Oliver, Adriana P. Echeverria, Edward F. DiCarlo, Michael B. Brenner, Vivian P. Bykerk, Susan M. Goodman, Soumya Raychaudhuri, Gunnar Rätsch, Lionel B. Ivashkiv, Laura T. Donlin",Sci. Transl. Med.,HBEGF+ macrophages in rheumatoid arthritis induce fibroblast invasiveness,20190509,-,940.0,Human,Synovial tissue,CEL-seq2,SDY998,,RNA-seq,CD14+ synovial cells,"Osteoarthritis, Rheumatoid arthritis",RA vs OA,,4,Yes,No,No,Yes,Yes,,,,10.0,2019-05-09,2019,5,9,94.0
174,Zhang et al CReports,10.1016/j.celrep.2019.04.052,"Peng Zhang, Mingran Yang, Yiding Zhang, Shuai Xiao, Xinxing Lai, Aidi Tan, Shiyu Du, Shao Li",Cell Reports,Dissecting the Single-Cell Transcriptome Network Underlying Gastric Premalignant Lesions and Early Gastric Cancer,20190509,,32332.0,Human,Stomach,Chromium,GSE134520,,RNA-seq,,"Non-atrophic gastritis, Chronic atrophic gastritis, Intestinal metaplasia, Early gastric cancer",,,,,,,,,,,,9.0,2019-05-09,2019,5,9,3592.4444444444443
175,Zhang et al NImmunology,10.1038/s41590-019-0378-1,"Fan Zhang, Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus (AMP RA/SLE) Consortium, Kevin Wei, Kamil Slowikowski, Chamith Y. Fonseka, Deepak A. Rao, Stephen Kelly, Susan M. Goodman, Darren Tabechian, Laura B. Hughes, Karen Salomon-Escoto, Gerald F. M. Watts, A. Helena Jonsson, Javier Rangel-Moreno, Nida Meednu, Cristina Rozo, William Apruzzese, Thomas M. Eisenhaure, David J. Lieb, David L. Boyle, Arthur M. Mandelin, Brendan F. Boyce, Edward DiCarlo, Ellen M. Gravallese, Peter K. Gregersen, Larry Moreland, Gary S. Firestein, Nir Hacohen, Chad Nusbaum, James A. Lederer, Harris Perlman, Costantino Pitzalis, Andrew Filer, V. Michael Holers, Vivian P. Bykerk, Laura T. Donlin, Jennifer H. Anolik, Michael B. Brenner, Soumya Raychaudhuri",Nat Immunol,Defining inflammatory cell states in rheumatoid arthritis joint synovial tissues by integrating single-cell transcriptomics and mass cytometry,20190509,10.1101/351130,5265.0,Human,Synovial tissue,CEL-seq2,SDY998,,RNA-seq,"21 sorted cell populations: Fibroblasts, Monocytes, T cells, B cells.","Rheumatoid arthritis, Osteoarthritis",,,18,Yes,No,No,Yes,Yes,https://storage.googleapis.com/h5ad/10.1038-s41590-019-0378-1/SYD998.h5ad,,SDY998,51.0,2019-05-09,2019,5,9,103.23529411764706
176,Moreno-Villanueva et al IJMS,10.3390/ijms20092316,"Maria Moreno-Villanueva, Ye Zhang, Alan Feiveson, Brandon Mistretta, Yinghong Pan, Sujash Chatterjee, Winston Wu, Ryan Clanton, Mayra Nelman-Gonzalez, Stephanie Krieger, Preethi Gunaratne, Brian Crucian, Honglu Wu",IJMS,Single-Cell RNA-Sequencing Identifies Activation of TP53 and STAT1 Pathways in Human T Lymphocyte Subpopulations in Response to Ex Vivo Radiation Exposure,20190513,-,1423.0,Human,Blood,Chromium,,,RNA-seq,T cells,,Irradiated vs Control,,3,Yes,No,No,Yes,Yes,,,,1.0,2019-05-13,2019,5,13,1423.0
177,Cheng et al NCommunications,10.1038/s41467-019-10122-2,"Yu-Heng Cheng, Yu-Chih Chen, Eric Lin, Riley Brien, Seungwon Jung, Yu-Ting Chen, Woncheol Lee, Zhijian Hao, Saswat Sahoo, Hyun Min Kang, Jason Cong, Monika Burness, Sunitha Nagrath, Max S. Wicha, Euisik Yoon",Nat Commun,Hydro-Seq enables contamination-free high-throughput single-cell RNA-sequencing for circulating tumor cells,20190515,-,666.0,Human,"Blood, Culture, Tumor",Hydro-Seq,PRJNA471754,,RNA-seq,"CTCs, MDA-MB-231, HEK293, 3T3",,,,2,Yes,,,,Yes,,,,21.0,2019-05-15,2019,5,15,31.714285714285715
178,Gaiti et al Nature,10.1038/s41586-019-1198-z,"Federico Gaiti, Ronan Chaligne, Hongcang Gu, Ryan M. Brand, Steven Kothen-Hill, Rafael C. Schulman, Kirill Grigorev, Davide Risso, Kyu-Tae Kim, Alessandro Pastore, Kevin Y. Huang, Alicia Alonso, Caroline Sheridan, Nathaniel D. Omans, Evan Biederstedt, Kendell Clement, Lili Wang, Joshua A. Felsenfeld, Erica B. Bhavsar, Martin J. Aryee, John N. Allan, Richard Furman, Andreas Gnirke, Catherine J. Wu, Alexander Meissner, Dan A. Landau",Nature,Epigenetic evolution and lineage histories of chronic lymphocytic leukaemia,20190515,-,843.0,Human,Blood,Smart-seq2 & scRRBS,GSE109085,,RNA-seq,chronic lymphocytic leukemia,,,,,,,,,,,,,35.0,2019-05-15,2019,5,15,24.085714285714285
