,Shorthand,DOI,Number individuals,N_individulas sentence,chatgpt_sentence,Organism,Reported cells total,Tissue,Tissue_type,tissue_accessibility,Contrasts,excluded,Authors,Journal,Title,Publication date,bioRxiv DOI,Technique,Data location,Panel size,Measurement,Cell source,Disease,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,DOI_oroginal,do_DOI_match,Shorthand_origina,do_shorthands_match,Number individuals original
619,Shin et al SAdvances,10.1126/sciadv.aav2249,,,,"Mouse, Human","3,091",Culture,,,45 perturbations,,"Dongju Shin, Wookjae Lee, Ji Hyun Lee, Duhee Bang",Sci. Adv.,Multiplexed single-cell RNA-seq via transient barcoding for simultaneous expression profiling of various drug perturbations,20190516,10.1101/359851,Drop-seq,PRJNA493658,,RNA-seq,"HEK293T, NIIH3T3, A375, SW480, K562",,,,,,,,,,,,10.1126/sciadv.aav2249,1,Shin et al SAdvances,1,
620,Velmeshev et al Science,10.1126/science.aav8130,31,,,Human,"104,559",Brain,Brain,3,Autism patients and control,,"Dmitry Velmeshev, Lucas Schirmer, Diane Jung, Maximilian Haeussler, Yonatan Perez, Simone Mayer, Aparna Bhaduri, Nitasha Goyal, David H. Rowitch, Arnold R. Kriegstein",Science,Single-cell genomics identifies cell type–specific molecular changes in autism,17/05/2019,,Chromium,PRJNA434002,,RNA-seq,"Prefrontal cortex and cingulate cortex, Microglia",Autism,Between 4 and 22 years old,14,Yes,No,No,Yes,Yes,,,https://autism.cells.ucsc.edu,10.1126/science.aav8130,1,Velmeshev et al Science,1,31
621,Aztekin et al Science,10.1126/science.aav9996,,,,Xenopus,"13,200",Tail,,,,,"C. Aztekin, T. W. Hiscock, J. C. Marioni, J. B. Gurdon, B. D. Simons, J. Jullien",Science,Identification of a regeneration-organizing cell in the Xenopus tail,20190517,,Chromium,E-MTAB-7716,,RNA-seq,,,NF stage 40-41,,Yes,No,No,No,No,,,,10.1126/science.aav9996,1,Aztekin et al Science,1,
622,Keren-Shaul et al NProtocols,10.1038/s41596-019-0164-4,,,,"Human, Mouse","2,256",,,,,Paywall,"Hadas Keren-Shaul, Ephraim Kenigsberg, Diego Adhemar Jaitin, Eyal David, Franziska Paul, Amos Tanay, Ido Amit",Nat Protoc,MARS-seq2.0: an experimental and analytical pipeline for indexed sorting combined with single-cell RNA sequencing,17/05/2019,-,MARS-seq2.0,GSE123392,,RNA-seq,ES and MEF,,,,,,,,,,,,10.1038/s41596-019-0164-4,1,Keren-Shaul et al NProtocols,1,
623,Der et al NImmunology,10.1038/s41590-019-0386-1,24,A total of 21 renal tissue samples were collected from patients with LN undergoing a clinically indicated renal biopsy (see Supplementary Table 1),Single-cell RNA sequencing data were analyzed for a total of 24 donors (21 kidney biopsies from patients with LN and 3 biopsy pairs of control skin and renal tissue from healthy control subjects).,Human,"6,041","Blood, Kidney, Skin",Several,3,,,"Evan Der, the Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus (AMP RA/SLE) Consortium, Hemant Suryawanshi, Pavel Morozov, Manjunath Kustagi, Beatrice Goilav, Saritha Ranabothu, Peter Izmirly, Robert Clancy, H. Michael Belmont, Mordecai Koenigsberg, Michele Mokrzycki, Helen Rominieki, Jay A. Graham, Juan P. Rocca, Nicole Bornkamp, Nicole Jordan, Emma Schulte, Ming Wu, James Pullman, Kamil Slowikowski, Soumya Raychaudhuri, Joel Guthridge, Judith James, Jill Buyon, Thomas Tuschl, Chaim Putterman",Nat Immunol,Tubular cell and keratinocyte single-cell transcriptomics applied to lupus nephritis reveal type I IFN and fibrosis relevant pathways,20/05/2019,,SMARTer (C1HT),phs001457.v1.p1 ,,RNA-seq,,Lupus nephritis,,6,Yes,No,No,Yes,Yes,,,,10.1038/s41590-019-0386-1,1,Der et al NImmunology,1,24
624,Kupari et al CReports,10.1016/j.celrep.2019.04.096,,,,Mouse,"1,896",,,,,,"Jussi Kupari, Martin Häring, Eneritz Agirre, Gonçalo Castelo-Branco, Patrik Ernfors",Cell Reports,An Atlas of Vagal Sensory Neurons and Their Molecular Specialization,20190521,-,Chromium,GSE124312,,RNA-seq,vagal ganglia,,,18,Yes,No,No,,Yes,,,,10.1016/j.celrep.2019.04.096,1,Kupari et al CReports,1,
625,Li et al Development,10.1242/dev.174888,,,,Mouse,"7,893",Face,,,,,"Hong Li, Kenneth L. Jones, Joan E. Hooper, Trevor Williams",Development,The molecular anatomy of mammalian upper lip and primary palate fusion at single cell resolution,20190522,-,Chromium,GSE132462,,RNA-seq,E11.5 upper face,,E11.5,21,Yes,,,,Yes,,,,10.1242/dev.174888,1,Li et al Development,1,
626,Combes et al Development,10.1242/dev.178673,,,,Mouse,"14,585",Kidney,,,,,"Alexander N. Combes, Belinda Phipson, Kynan T. Lawlor, Aude Dorison, Ralph Patrick, Luke Zappia, Richard P. Harvey, Alicia Oshlack, Melissa H. Little",Development,Single cell analysis of the developing mouse kidney provides deeper insight into marker gene expression and ligand-receptor crosstalk,20190522,10.1101/235499,Chromium,GSE108291,,RNA-seq,"E18.5 Kidney, E14.5 nephron progenitors",,"E14.5, E18.5",16,Yes,Yes,,,Yes,,,,10.1242/dev.178673,1,Combes et al Development,1,
627,Clark et al Neuron,10.1016/j.neuron.2019.04.010,,,,Mouse,"121,551",Eye,,,,,"Brian S. Clark, Genevieve L. Stein-O’Brien, Fion Shiau, Gabrielle H. Cannon, Emily Davis-Marcisak, Thomas Sherman, Clayton P. Santiago, Thanh V. Hoang, Fatemeh Rajaii, Rebecca E. James-Esposito, Richard M. Gronostajski, Elana J. Fertig, Loyal A. Goff, Seth Blackshaw",Neuron,Single-Cell RNA-Seq Analysis of Retinal Development Identifies NFI Factors as Regulating Mitotic Exit and Late-Born Cell Specification,20190522,-,Chromium & Smart-seq2,GSE118614,,RNA-seq,Developing retina,,"E11, E12, E14, E16, E18, P0, P8, P14, P25",,,,,,,gs://h5ad/2019-05-Clark-et-al-Neuron,,,10.1016/j.neuron.2019.04.010,1,Clark et al Neuron,1,
628,Walker et al Immunity,10.1016/j.immuni.2019.05.002,,,,Mouse,878,,,,,,"Jennifer A. Walker, Paula A. Clark, Alastair Crisp, Jillian L. Barlow, Aydan Szeto, Ana C.F. Ferreira, Batika M.J. Rana, Helen E. Jolin, Noe Rodriguez-Rodriguez, Meera Sivasubramaniam, Richard Pannell, James Cruickshank, Maria Daly, Liora Haim-Vilmovsky, Sarah A. Teichmann, Andrew N.J. McKenzie",Immunity,Polychromic Reporter Mice Reveal Unappreciated Innate Lymphoid Cell Progenitor Heterogeneity and Elusive ILC3 Progenitors in Bone Marrow,20190522,-,Smart-seq2,GSE131038,,RNA-seq,ILCs,,,13,,Yes,,,Yes,,,,10.1016/j.immuni.2019.05.002,1,Walker et al Immunity,1,
629,Baryawno et al Cell,10.1016/j.cell.2019.04.040,,,,Mouse,"30,543",Bone marrow,,,,,"Ninib Baryawno, Dariusz Przybylski, Monika S. Kowalczyk, Youmna Kfoury, Nicolas Severe, Karin Gustafsson, Konstantinos D. Kokkaliaris, Francois Mercier, Marcin Tabaka, Matan Hofree, Danielle Dionne, Ani Papazian, Dongjun Lee, Orr Ashenberg, Ayshwarya Subramanian, Eeshit Dhaval Vaishnav, Orit Rozenblatt-Rosen, Aviv Regev, David T. Scadden",Cell,A Cellular Taxonomy of the Bone Marrow Stroma in Homeostasis and Leukemia,20190523,-,Chromium,GSE128423,,RNA-seq,Bone marrow stroma,,,17,Yes,Yes,No,Yes,Yes,,,SCP361,10.1016/j.cell.2019.04.040,1,Baryawno et al Cell,1,
630,DeSisto et al bioRxiv,10.1101/648642,,,,Mouse,"2,777",Meninges,,,,,"John DeSisto, Rebecca O’Rourke, Stephanie Bonney, Hannah E. Jones, Fabien Guimiot, Kenneth L. Jones, Julie A. Siegenthaler",bioRxiv,A cellular atlas of the developing meninges reveals meningeal fibroblast diversity and function,20190524,10.1101/648642,Chromium,,,RNA-seq,,,E14.5,9,Yes,No,No,Yes,Yes,,,,10.1101/648642,1,DeSisto et al bioRxiv,1,
631,Drissen et al SImmunology,10.1126/sciimmunol.aau7148,4,"To molecularly characterize the identified CMP subpopulations we performed Smart-seq2–based
RNA sequencing of bulk cell populations from 4 independent bone marrow donors.","Single-cell RNA sequencing data were analyzed from 4 independent bone marrow donors in this study. This information can be found in the source sentence ""To molecularly characterize the identified CMP subpopulations we performed Smart-seq2–based RNA sequencing of bulk cell populations from 4 independent bone marrow donors.""",Human,296,Bone marrow,Bone marrow,2,,,"Roy Drissen, Supat Thongjuea, Kim Theilgaard-Mönch, Claus Nerlov",Sci. Immunol.,Identification of two distinct pathways of human myelopoiesis,25/05/2019,-,Smart-seq2,GSE113046,,RNA-seq,,,,7,,,,,,,,,10.1126/sciimmunol.aau7148,1,Drissen et al SImmunology,1,
632,Tian et al NMethods,10.1038/s41592-019-0425-8,,,,Human,"8,000",,,,,Cell lines data,"Luyi Tian, Xueyi Dong, Saskia Freytag, Kim-Anh Lê Cao, Shian Su, Abolfazl JalalAbadi, Daniela Amann-Zalcenstein, Tom S. Weber, Azadeh Seidi, Jafar S. Jabbari, Shalin H. Naik, Matthew E. Ritchie",Nat Methods,Benchmarking single cell RNA-sequencing analysis pipelines using mixture control experiments,27/05/2019,10.1101/433102,CEL-seq2 & Chromium & Drop-seq & SORT-seq,GSE118767,,RNA-seq,"H2228, H1975, HCC827",,,,Yes,,,Yes,Yes,,,,10.1038/s41592-019-0425-8,1,Tian et al NMethods,1,
633,Lukowski et al CReports,10.1016/j.celrep.2019.04.102,,,,Mouse,"7,671",,,,,,"Samuel W. Lukowski, Jatin Patel, Stacey B. Andersen, Seen-Ling Sim, Ho Yi Wong, Joshua Tay, Ingrid Winkler, Joseph E. Powell, Kiarash Khosrotehrani",Cell Reports,Single-Cell Transcriptional Profiling of Aortic Endothelium Identifies a Hierarchy from Endovascular Progenitors to Differentiated Cells,20190528,-,Chromium,E-MTAB-7149,,RNA-seq,,,,,,,,,,,,,10.1016/j.celrep.2019.04.102,1,Lukowski et al CReports,1,
634,Saunders et al eLife,10.7554/eLife.45181,,,,Zebrafish,"16,150",,,,,,"Lauren M Saunders, Abhishek K Mishra, Andrew J Aman, Victor M Lewis, Matthew B Toomey, Jonathan S Packer, Xiaojie Qiu, Jose L McFaline-Figueroa, Joseph C Corbo, Cole Trapnell, David M Parichy",eLife,Thyroid hormone regulates distinct paths to maturation in pigment cell lineages,20190529,10.1101/527341,Chromium,GSE131136,,RNA-seq,,,,10,,,,,,,,,10.7554/eLife.45181,1,Saunders et al eLife,1,
635,Li et al Development,10.1242/dev.173476,,,,Mouse,"10,500",Heart,,,,,"Guang Li, Lei Tian, William Goodyer, Eric J. Kort, Jan W. Buikema, Adele Xu, Joseph C. Wu, Stefan Jovinge, Sean M. Wu",Development,Single cell expression analysis reveals anatomical and cell cycle-dependent transcriptional shifts during heart development,20190529,-,Chromium & SMARTer (C1),GSE122403,,RNA-seq,E10.5 cardiac cells,,E10.5,11,,,,,Yes,,,,10.1242/dev.173476,1,Li et al Development,1,
636,Croft et al Nature,10.1038/s41586-019-1263-7,,,,Mouse,"3,000",Synovial tissue,,,,,"Adam P. Croft, Joana Campos, Kathrin Jansen, Jason D. Turner, Jennifer Marshall, Moustafa Attar, Loriane Savary, Corinna Wehmeyer, Amy J. Naylor, Samuel Kemble, Jenefa Begum, Kerstin Dürholz, Harris Perlman, Francesca Barone, Helen M. McGettrick, Douglas T. Fearon, Kevin Wei, Soumya Raychaudhuri, Ilya Korsunsky, Michael B. Brenner, Mark Coles, Stephen N. Sansom, Andrew Filer, Christopher D. Buckley",Nature,Distinct fibroblast subsets drive inflammation and damage in arthritis,20190529,10.1101/374330,Chromium,GSE129087,,RNA-seq,,Serum transfer inflammatory arthritis,,11,,,,,Yes,,,,10.1038/s41586-019-1263-7,1,Croft et al Nature,1,
637,Kalluri et al Circulation,10.1161/CIRCULATIONAHA.118.038362,,,,Mouse,"5,451",Aorta,,,,,"Aditya S. Kalluri, Shamsudheen K. Vellarikkal, Elazer R. Edelman, Lan Nguyen, Ayshwarya Subramanian, Patrick T. Ellinor, Aviv Regev, Sekar Kathiresan, Rajat M. Gupta",Circulation,Single-Cell Analysis of the Normal Mouse Aorta Reveals Functionally Distinct Endothelial Cell Populations,20190531,,GemCode,SCP289,,RNA-seq,,,,10,Yes,No,No,Yes,Yes,,,SCP289,10.1161/CIRCULATIONAHA.118.038362,1,Kalluri et al Circulation,1,
638,Edri et al Development,10.1242/dev.180190,,,,Mouse,"10,580",,,,,,"Shlomit Edri, Penelope Hayward, Wajid Jawaid, Alfonso Martinez Arias",Development,Neuro-mesodermal progenitors (NMPs): a comparative study between pluripotent stem cells and embryo-derived populations,20190531,-,Chromium,GSE132504,,RNA-seq,In vitro NMPs,,,7,,,,,,,,,10.1242/dev.180190,1,Edri et al Development,1,
639,Grosselin et al NGenetics,10.1038/s41588-019-0424-9,4,"Approximately 3,000 cells from each cell suspension, HBCx-22, HBCx-22-TamR, HBCx-95 and HBCx-95-CapaR, were loaded on a Chromium Single Cell Controller Instrument (10x Genomics) according to the manufacturer’s instructions",,"Human, Mouse","3,000",Breast,Breast,3,,,"Kevin Grosselin, Adeline Durand, Justine Marsolier, Adeline Poitou, Elisabetta Marangoni, Fariba Nemati, Ahmed Dahmani, Sonia Lameiras, Fabien Reyal, Olivia Frenoy, Yannick Pousse, Marcel Reichen, Adam Woolfe, Colin Brenan, Andrew D. Griffiths, Céline Vallot, Annabelle Gérard",Nat Genet,High-throughput single-cell ChIP-seq identifies heterogeneity of chromatin states in breast cancer,31/05/2019,-,,GSE117309,,RNA-seq,Patient-derived xenograft models of breast cancer,,,,,,,,,,,,10.1038/s41588-019-0424-9,1,Grosselin et al NGenetics,1,
640,Pellin et al NCommunications,10.1038/s41467-019-10291-0,2,"Two experiments have been performed on two separate healthy donors to generate two single-cell transcriptome maps (MNC, mononuclear cells; PBA, population balance analysis; GEA, Gene expression analysis)",Single-cell RNA sequencing data were analyzed for two separate healthy donors in this study.,Human,"21,412",Bone marrow,Bone marrow,2,,,"Danilo Pellin, Mariana Loperfido, Cristina Baricordi, Samuel L. Wolock, Annita Montepeloso, Olga K. Weinberg, Alessandra Biffi, Allon M. Klein, Luca Biasco",Nat Commun,A comprehensive single cell transcriptional landscape of human hematopoietic progenitors,03/06/2019,-,InDrops,GSE117498,,RNA-seq,HSPCs,,,,,,,,,,,,10.1038/s41467-019-10291-0,1,Pellin et al NCommunications,1,
641,Wang et al NCB,10.1038/s41556-019-0336-z,,,,Ciona robusta,"1,138",,,,,,"Wei Wang, Xiang Niu, Tim Stuart, Estelle Jullian, William M. Mauck, Robert G. Kelly, Rahul Satija, Lionel Christiaen",Nat Cell Biol,A single-cell transcriptional roadmap for cardiopharyngeal fate diversification,20190603,10.1101/150235,Smart-seq2,GSE99844,,RNA-seq,Cardiopharyngeal cells,,,13,Yes,Yes,No,Yes,Yes,,,,10.1038/s41556-019-0336-z,1,Wang et al NCB,1,
642,van Gurp et al Development,10.1242/dev.173716,,,,Mouse,"4,620",Pancreas,,,,,"Léon van Gurp, Mauro J. Muraro, Tim Dielen, Lina Seneby, Gitanjali Dharmadhikari, Gerard Gradwohl, Alexander van Oudenaarden, Eelco J. P. de Koning",Development,A transcriptomic roadmap to α- and β-cell differentiation in the embryonic pancreas,20190603,-,SORT-seq,GSE132364,,RNA-seq,E12.5 to E18.5 pancreas,,E12.5 - E18.5,9,Yes,Yes,,,No,,,,10.1242/dev.173716,1,van Gurp et al Development,1,
643,Bastidas-Ponce et al Developlment,10.1242/dev.173849,,,,Mouse,"36,351",Pancreas,,,,,"Aimée Bastidas-Ponce, Sophie Tritschler, Leander Dony, Katharina Scheibner, Marta Tarquis-Medina, Ciro Salinno, Silvia Schirge, Ingo Burtscher, Anika Böttcher, Fabian J. Theis, Heiko Lickert, Mostafa Bakhti",Development,Comprehensive single cell mRNA profiling reveals a detailed roadmap for pancreatic endocrinogenesis,20190603,-,Chromium,GSE132188,,RNA-seq,"Pancreatic endothelial cells E12.5, E13.5, E14.5, E15.5",,"E12.5, E13.5, E14.5, E15.5",13,,,,,No,,,,10.1242/dev.173849,1,Bastidas-Ponce et al Developlment,1,
644,Gunther et al bioRxiv,10.1101/658179,1,"In order to have a comprehensive single-cell RNA-Seq dataset of human PBMCs, we downloaded a dataset containing transcriptome data of 33,148 PBMCs from a healthy donor (short 33k-PBMC dataset), which is publicly available on the 10x Genomics webpage","The number of donors (patients, individuals) for which the single-cell RNA sequencing data was analyzed is not specified in the given excerpt.",Human,"2,509",Blood,Blood,1,,,"Patrick Günther, Branko Cirovic, Kevin Baßler, Kristian Händler, Matthias Becker, Charles Antoine Dutertre, Venetia Bigley, Evan Newell, Matthew Collin, Florent Ginhoux, Andreas Schlitzer, Joachim L. Schultze",bioRxiv,A rule-based data-informed cellular consensus map of the human mononuclear phagocyte cell space,04/06/2019,10.1101/658179,Smart-seq2,,,RNA-seq,DCs and monocytes,,,,,,,Yes,No,,,,10.1101/658179,1,Gunther et al bioRxiv,1,
645,Verboom et al NAR,10.1093/nar/gkz535,,,,Human,339,Culture,,,,,"Karen Verboom, Celine Everaert, Nathalie Bolduc, Kenneth J Livak, Nurten Yigit, Dries Rombaut, Jasper Anckaert, Simon Lee, Morten T Venø, Jørgen Kjems, Frank Speleman, Pieter Mestdagh, Jo Vandesompele",Nucleic Acids Research,SMARTer single cell total RNA sequencing,20190604,10.1101/430090,SMARTer,GSE119984,,RNA-seq,,,,,No,No,No,No,No,,,,10.1093/nar/gkz535,1,Verboom et al NAR,1,
646,Velasco et al Nature,10.1038/s41586-019-1289-x,,,,Human,"166,242",Organoid,,,,,"Silvia Velasco, Amanda J. Kedaigle, Sean K. Simmons, Allison Nash, Marina Rocha, Giorgia Quadrato, Bruna Paulsen, Lan Nguyen, Xian Adiconis, Aviv Regev, Joshua Z. Levin, Paola Arlotta",Nature,Individual brain organoids reproducibly form cell diversity of the human cerebral cortex,05/06/2019,,Chromium,GSE129519,,RNA-seq,Organoid models of dorsal foreebrain,,,13,Yes,Yes,No,Yes,Yes,,,SCP282,10.1038/s41586-019-1289-x,1,Velasco et al Nature,1,
647,Won Kim et al bioRxiv,10.1101/657148,,,,Mouse,"129,151",Brain,,,,,"Dong Won Kim, Parris Whitney Washington, Zoe Qianyi Wang, Sonia Lin, Changyu Sun, Lizhi Jiang, Seth Blackshaw",bioRxiv,Single cell RNA-Seq analysis identifies molecular mechanisms controlling hypothalamic patterning and differentiation,20190606,10.1101/657148,Chromium,,,RNA-seq,E10-P45 hypothalamus,,E10 - P45,,,,,,,,,,10.1101/657148,1,Won Kim et al bioRxiv,1,
648,Welch et al Cell,10.1016/j.cell.2019.05.006,7,,"Single-cell RNA sequencing data were analyzed from seven individuals (tissue donors) in this study. (Source: ""To explore how well LIGER can integrate individual human postmortem samples, we isolated and sequenced 44,274 nuclei derived from the substantia nigra (SN) of seven individuals designated as neurotypical controls (STAR Methods)."")","Mouse, Human","249,011",Brain,Brain,3,,,"Joshua D. Welch, Velina Kozareva, Ashley Ferreira, Charles Vanderburg, Carly Martin, Evan Z. Macosko",Cell,Single-Cell Multi-omic Integration Compares and Contrasts Features of Brain Cell Identity,06/06/2019,,Chromium,GSE126836,,RNA-seq,substantia nigra (SN) and bed nucleus of the stria terminalis (BNST),,,25,Yes,No,No,No,Yes,,,,10.1016/j.cell.2019.05.006,1,Welch et al Cell,1,7
649,Todd et al JNeuroinflammation,10.1186/s12974-019-1505-5,,,,Mouse,"49,460",Eye,,,,,"Levi Todd, Isabella Palazzo, Lilianna Suarez, Xiaoyu Liu, Leo Volkov, Thanh V. Hoang, Warren A. Campbell, Seth Blackshaw, Ning Quan, Andy J. Fischer",J Neuroinflammation,Reactive microglia and IL1β/IL-1R1-signaling mediate neuroprotection in excitotoxin-damaged mouse retina,20190606,,Chromium,,,RNA-seq,Microglia,,,11,Yes,No,No,,Yes,,,,10.1186/s12974-019-1505-5,1,Todd et al JNeuroinflammation,1,
650,Soldatov et al Science,10.1126/science.aas9536,,,,Mouse,"6,124",Brain,,,,,"Ruslan Soldatov, Marketa Kaucka, Maria Eleni Kastriti, Julian Petersen, Tatiana Chontorotzea, Lukas Englmaier, Natalia Akkuratova, Yunshi Yang, Martin Häring, Viacheslav Dyachuk, Christoph Bock, Matthias Farlik, Michael L. Piacentino, Franck Boismoreau, Markus M. Hilscher, Chika Yokota, Xiaoyan Qian, Mats Nilsson, Marianne E. Bronner, Laura Croci, Wen-Yu Hsiao, David A. Guertin, Jean-Francois Brunet, Gian Giacomo Consalez, Patrik Ernfors, Kaj Fried, Peter V. Kharchenko, Igor Adameyko",Science,Spatiotemporal structure of cell fate decisions in murine neural crest,20190607,-,Smart-seq2,GSE129114,,RNA-seq,Neural crest,,E8.5 - E10.5,12,,,,,Yes,,,,10.1126/science.aas9536,1,Soldatov et al Science,1,
651,Hung et al JImmunology,10.4049/jimmunol.1900363,,,,Mouse,"6,655",,,,,,"Li-Yin Hung, John L. Johnson, Yingbiao Ji, David A. Christian, Karl R. Herbine, Christopher F. Pastore, De’Broski R. Herbert",J.I.,Cell-Intrinsic Wnt4 Influences Conventional Dendritic Cell Fate Determination to Suppress Type 2 Immunity,20190607,-,Chromium,,,RNA-seq,cDCs,,,,,,,,,,,,10.4049/jimmunol.1900363,1,Hung et al JImmunology,1,
652,Zhang et al JOR,10.1186/s13048-019-0529-x,,,,Mouse,12,Oocyte,,,,,"Tao Zhang, Qingsong Xi, Dan Wang, Jingjing Li, Meng Wang, Dan Li, Lixia Zhu, Lei Jin",J Ovarian Res,Mitochondrial dysfunction and endoplasmic reticulum stress involved in oocyte aging: an analysis using single-cell RNA-sequencing of mouse oocytes,20190608,-,NEBNext Ultra,,,RNA-seq,Oocytes,,,,,,,,,,,,10.1186/s13048-019-0529-x,1,Zhang et al JOR,1,
